"b:tnow in s";"s:Vac_ist";"s:id_ref";"s:iq_ref"
0.435000;1.002411;0.498797;-0.498797
0.436000;1.002411;0.498797;-0.498797
0.437000;1.002411;0.498797;-0.498797
0.438000;1.002411;0.498797;-0.498797
0.439000;1.002411;0.498797;-0.498797
0.440000;1.002411;0.498797;-0.498797
0.441000;1.002411;0.498797;-0.498797
0.442000;1.002411;0.498797;-0.498797
0.443000;1.002411;0.498797;-0.498797
0.444000;1.002411;0.498797;-0.498797
0.445000;1.002411;0.498797;-0.498797
0.446000;1.002411;0.498797;-0.498797
0.447000;1.002411;0.498797;-0.498797
0.448000;1.002411;0.498797;-0.498797
0.449000;1.002411;0.498797;-0.498797
0.450000;1.002411;0.498797;-0.498797
0.451000;1.002411;0.498797;-0.498797
0.452000;1.002411;0.498797;-0.498797
0.453000;1.002411;0.498797;-0.498797
0.454000;1.002411;0.498797;-0.498797
0.455000;1.002411;0.498797;-0.498797
0.456000;1.002411;0.498797;-0.498797
0.457000;1.002411;0.498797;-0.498797
0.458000;1.002411;0.498797;-0.498797
0.459000;1.002411;0.498797;-0.498797
0.460000;1.002411;0.498797;-0.498797
0.461000;1.002411;0.498797;-0.498797
0.462000;1.002411;0.498797;-0.498797
0.463000;1.002411;0.498797;-0.498797
0.464000;1.002411;0.498797;-0.498797
0.465000;1.002411;0.498797;-0.498797
0.466000;1.002411;0.498797;-0.498797
0.467000;1.002411;0.498797;-0.498797
0.468000;1.002411;0.498797;-0.498797
0.469000;1.002411;0.498797;-0.498797
0.470000;1.002411;0.498797;-0.498797
0.471000;1.002411;0.498797;-0.498797
0.472000;1.002411;0.498797;-0.498797
0.473000;1.002411;0.498797;-0.498797
0.474000;1.002411;0.498797;-0.498797
0.475000;1.002411;0.498797;-0.498797
0.476000;1.002411;0.498797;-0.498797
0.477000;1.002411;0.498797;-0.498797
0.478000;1.002411;0.498797;-0.498797
0.479000;1.002411;0.498797;-0.498797
0.480000;1.002411;0.498797;-0.498797
0.481000;1.002411;0.498797;-0.498797
0.482000;1.002411;0.498797;-0.498797
0.483000;1.002411;0.498797;-0.498797
0.484000;1.002411;0.498797;-0.498797
0.485000;1.002411;0.498797;-0.498797
0.486000;1.002411;0.498797;-0.498797
0.487000;1.002411;0.498797;-0.498797
0.488000;1.002411;0.498797;-0.498797
0.489000;1.002411;0.498797;-0.498797
0.490000;1.002411;0.498797;-0.498797
0.491000;1.002411;0.498797;-0.498797
0.492000;1.002411;0.498797;-0.498797
0.493000;1.002411;0.498797;-0.498797
0.494000;1.002411;0.498797;-0.498797
0.495000;1.002411;0.498797;-0.498797
0.496000;1.002411;0.498797;-0.498797
0.497000;1.002411;0.498797;-0.498797
0.498000;1.002411;0.498797;-0.498797
0.499000;1.002411;0.498797;-0.498797
0.500000;1.002411;0.498797;-0.498797
0.500500;0.791827;0.530319;-0.847798
0.501167;0.793695;0.538580;-0.842574
0.502167;0.793698;0.538591;-0.842568
0.503167;0.793698;0.538591;-0.842567
0.504167;0.793698;0.538591;-0.842567
0.505167;0.793698;0.538591;-0.842567
0.506167;0.793698;0.538591;-0.842567
0.507167;0.793698;0.538591;-0.842567
0.508167;0.793698;0.538591;-0.842567
0.509167;0.793698;0.538591;-0.842567
0.510167;0.793698;0.538591;-0.842567
0.511167;0.793698;0.538591;-0.842567
